,Unnamed: 0_x,date,journey,start_quadkey,end_quadkey,n_crisis,Unnamed: 0_y,quadkey,GID_0,NAME_0,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3
94,94,2020-03-19,031133123000_031133123211,031133123000,031133123211,9.263551190280024,354,031133123000,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
95,95,2020-03-19,031133123023_031133123211,031133123023,031133123211,16.979060035916838,361,031133123023,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
96,96,2020-03-19,031133123030_031133123211,031133123030,031133123211,3.8707484841240514,362,031133123030,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
97,97,2020-03-19,031133123211_031133123000,031133123211,031133123000,10.682530825736752,369,031133123211,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
98,98,2020-03-19,031133123211_031133123023,031133123211,031133123023,22.89113748372161,369,031133123211,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
99,99,2020-03-19,031133123211_031133123030,031133123211,031133123030,5.188657829643566,369,031133123211,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
100,100,2020-03-19,031133123211_031133123212,031133123211,031133123212,6.714733661891674,369,031133123211,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
101,101,2020-03-19,031133123211_031133123222,031133123211,031133123222,10.377315659287133,369,031133123211,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
102,102,2020-03-19,031133123211_031133123230,031133123211,031133123230,3.96779716384508,369,031133123211,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
103,103,2020-03-19,031133123211_031133300130,031133123211,031133300130,3.052151664496216,369,031133123211,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
104,104,2020-03-19,031133123211_031133300133,031133123211,031133300133,14.650327989581836,369,031133123211,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
105,105,2020-03-19,031133123212_031133123211,031133123212,031133123211,4.626686269209094,370,031133123212,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
106,106,2020-03-19,031133123222_031133123211,031133123222,031133123211,8.533464303261548,373,031133123222,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
107,107,2020-03-19,031133123222_031133300130,031133123222,031133300130,3.0632948780938887,373,031133123222,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
108,108,2020-03-19,031133123222_031133300133,031133123222,031133300133,12.03437273536885,373,031133123222,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
109,109,2020-03-19,031133123222_031133301020,031133123222,031133301020,2.1880677700670637,373,031133123222,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
110,110,2020-03-19,031133123222_031133301200,031133123222,031133301200,2.1880677700670637,373,031133123222,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
111,111,2020-03-19,031133202121_031133202130,031133202121,031133202130,54.450044445718824,183,031133202121,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
112,112,2020-03-19,031133202130_031133202121,031133202130,031133202121,53.33252545320218,185,031133202130,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
113,113,2020-03-19,031133210110_031133032332,031133210110,031133032332,2.1510292460494247,197,031133210110,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
114,114,2020-03-19,031133210120_031133032332,031133210120,031133032332,2.845616745555545,200,031133210120,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
115,115,2020-03-19,031133212231_031133212320,031133212231,031133212320,4.26663970098889,446,031133212231,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.24_1,Perthshire and Kinross,GBR.3.24.1_1,Perthshire and Kinross
116,116,2020-03-19,031133212301_031133212303,031133212301,031133212303,3.218831326522937,448,031133212301,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.24_1,Perthshire and Kinross,GBR.3.24.1_1,Perthshire and Kinross
117,117,2020-03-19,031133212303_031133212301,031133212303,031133212301,4.437831368641874,449,031133212303,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.24_1,Perthshire and Kinross,GBR.3.24.1_1,Perthshire and Kinross
118,118,2020-03-19,031133212320_031133212231,031133212320,031133212231,5.327326422147731,451,031133212320,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.24_1,Perthshire and Kinross,GBR.3.24.1_1,Perthshire and Kinross
119,119,2020-03-19,031133212333_031133231022,031133212333,031133231022,1.76259889152103,454,031133212333,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.24_1,Perthshire and Kinross,GBR.3.24.1_1,Perthshire and Kinross
120,120,2020-03-19,031133213223_031133213232,031133213223,031133213232,19.43257846054205,457,031133213223,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.24_1,Perthshire and Kinross,GBR.3.24.1_1,Perthshire and Kinross
121,121,2020-03-19,031133213223_031133231022,031133213223,031133231022,3.791722626447231,457,031133213223,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.24_1,Perthshire and Kinross,GBR.3.24.1_1,Perthshire and Kinross
122,122,2020-03-19,031133213231_031133213232,031133213231,031133213232,2.523646466123437,458,031133213231,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.24_1,Perthshire and Kinross,GBR.3.24.1_1,Perthshire and Kinross
123,123,2020-03-19,031133213232_031133213223,031133213232,031133213223,23.471004813622546,459,031133213232,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.24_1,Perthshire and Kinross,GBR.3.24.1_1,Perthshire and Kinross
124,124,2020-03-19,031133213232_031133213231,031133213232,031133213231,3.316555028011881,459,031133213232,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.24_1,Perthshire and Kinross,GBR.3.24.1_1,Perthshire and Kinross
